% Model,spaceplate_double_3d - Copy (2).mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 11 2025, 09:39"
% Table,Table 24 - Surface Average 6
% theta0 (deg),"freq=8000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=9000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=10000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=11000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=12000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=13000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=14000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=15000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=16000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=17000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=18000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=19000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=20000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=21000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=22000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=23000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=24000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=25000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=26000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=27000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=28000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=29000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=30000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=31000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=32000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=33000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=34000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))","freq=35000 Hz, abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))"
0,0.047609660936391955,0.11324664037776318,0.60744669556116,0.0431992769577625,0.011255807796166525,0.005349994798913065,0.003699826296261294,0.0034965318148863812,0.004780156476169835,0.012473326758673945,0.3323658334692941,0.011532566784942334,0.002701966859780727,0.0012865071063828915,8.968325148698003E-4,8.411946942657986E-4,0.0010532676865502117,0.00205361238559114,0.011312510623501611,0.024037468392798435,0.0021167663734215584,8.146300940747043E-4,4.997737461476878E-4,4.2828698689736125E-4,4.7962683297561554E-4,7.133423420671852E-4,0.0018266559889092628,0.023249370183015258
29.999999999999996,0.08782838030831214,0.15441750702325027,0.6222524036027957,0.06104761939372667,0.015747793539336245,0.004875414378142096,0.004615356391480907,0.004690035857846457,0.004232502314630887,0.015323617852285585,0.3961757849541118,0.012166573326747695,0.0033978859815151485,0.002413712366689386,0.0010942152905877092,0.0010646944681995181,0.001915587962305844,0.0022090408376311582,0.013917284873824693,0.029538330695113645,0.0023324350839256155,8.651950595651044E-4,6.110759326145101E-4,5.103620759455E-4,5.217396993823646E-4,8.502440901460435E-4,0.002723562545626932,0.2957090213650443
59.99999999999999,0.3082039607777735,1.274520580914649,1.5269101901541173,0.09918917112855964,0.019091897755746632,0.02104016722436041,0.07239248124375705,0.04921290453854427,0.014571091425930147,0.021901047534840262,0.6733189452242418,0.06270469079180636,0.037640697633050696,0.003445163515608298,7.192520151999695E-4,6.001988674305425E-4,0.0022642177251160807,0.014201836692132765,0.0279151341300289,0.022071706176385823,0.13253626682097583,0.00488999251678183,0.004994527267131321,0.0026778269866247085,0.005432424537739675,0.002590012446562983,0.005140037024055381,0.03775766690902187
90,0.0015418668950629656,0.19988882599680222,9.694363120623681E-4,2.3456260428039776E-4,1.1432888232388562E-4,8.12243060796274E-5,7.799768188606846E-5,1.0343751465917623E-4,2.223353771956495E-4,0.001857300127491934,0.0012620164012532684,1.6279719015812756E-4,6.863387125957016E-5,4.53339870056029E-5,4.042570614998764E-5,4.750059160887859E-5,7.837958708922229E-5,2.4414935510766136E-4,0.053624615085953745,7.857596577583982E-4,1.4241111141253903E-4,9.984775069652074E-5,4.821346932741273E-5,5.976286975860415E-5,6.386647571969011E-5,9.725848496448065E-5,4.502477472386098E-4,0.018229661944964268
